filename,status,issues,width,height,mode,file_size_bytes,brightness_mean,contrast
2836.png,OK,nenhum,3385,1793,L,578928,232.61,56.33
2837.png,OK,nenhum,3385,1793,L,541098,234.13,53.96
2838.png,OK,nenhum,3385,1793,L,552620,233.65,54.62
2839.png,OK,nenhum,3385,1793,L,528097,234.12,53.99
2840.png,OK,nenhum,3385,1793,L,534789,233.63,54.72
2841.png,OK,nenhum,3385,1793,L,525722,234.54,53.3
2842.png,OK,nenhum,3385,1793,L,518563,233.84,54.32
2843.png,OK,nenhum,3385,1793,L,518563,233.84,54.32
2844.png,OK,nenhum,3385,1793,L,553052,233.54,54.79
2845.png,OK,nenhum,3385,1793,L,527591,233.79,54.48
2846.png,OK,nenhum,3385,1793,L,535146,233.75,54.49
2848.png,OK,nenhum,3385,1793,L,698978,230.54,58.93
2849.png,OK,nenhum,3385,1793,L,565025,234.12,53.88
2850.png,OK,nenhum,3385,1793,L,510853,234.05,54.04
2851.png,OK,nenhum,3385,1793,L,525048,233.85,54.34
2852.png,OK,nenhum,3385,1793,L,496203,234.39,53.59
2853.png,OK,nenhum,3385,1793,L,476337,234.84,52.92
2854.png,OK,nenhum,3385,1793,L,476337,234.84,52.92
2855.png,OK,nenhum,3385,1793,L,563780,233.21,55.26
2856.png,OK,nenhum,3385,1793,L,563780,233.21,55.26
2857.png,OK,nenhum,3385,1793,L,522116,233.97,54.21
2858.png,OK,nenhum,3385,1793,L,489764,234.47,53.52
2859.png,OK,nenhum,3385,1793,L,489764,234.47,53.52
2860.png,OK,nenhum,3385,1793,L,564921,232.82,56.35
2861.png,OK,nenhum,3385,1793,L,596861,232.39,56.88
2862.png,OK,nenhum,3385,1793,L,564921,232.82,56.35
2863.png,OK,nenhum,3385,1793,L,534411,233.99,54.18
2864.png,OK,nenhum,3385,1793,L,480145,234.56,53.32
2865.png,OK,nenhum,3385,1793,L,553611,233.69,54.65
2866.png,OK,nenhum,3385,1793,L,549693,233.76,54.48
2867.png,OK,nenhum,3385,1793,L,582463,232.82,55.88
2868.png,OK,nenhum,3385,1793,L,493728,234.49,53.44
2869.png,OK,nenhum,3385,1793,L,531801,234.16,53.93
2870.png,OK,nenhum,3385,1793,L,486644,234.69,53.18
2871.png,OK,nenhum,3385,1793,L,491440,234.62,53.21
2872.png,OK,nenhum,3385,1793,L,582889,232.83,55.81
2873.png,OK,nenhum,3385,1793,L,496940,234.08,54.1
2874.png,OK,nenhum,3385,1793,L,503641,233.98,54.17
2875.png,OK,nenhum,3385,1793,L,521825,233.92,54.28
2876.png,OK,nenhum,3385,1793,L,540231,233.94,54.25
2877.png,OK,nenhum,3385,1793,L,519762,234.28,53.69
2878.png,OK,nenhum,3385,1793,L,490334,234.44,53.48
2879.png,OK,nenhum,3385,1793,L,539981,234.02,54.13
2880.png,OK,nenhum,3385,1793,L,539981,234.02,54.13
2881.png,OK,nenhum,3385,1793,L,496850,234.57,53.33
2882.png,OK,nenhum,3385,1793,L,534707,234.19,53.8
2883.png,OK,nenhum,3385,1793,L,492836,234.36,53.61
2884.png,OK,nenhum,3385,1793,L,504479,234.22,53.82
2885.png,OK,nenhum,3385,1793,L,539500,233.87,54.34
